Address,Year Build,GLA,# of rooms,# of bath,Closing Date,Sale Price
"35  hallier  rd.,  atlanta,  ga",2018,1811,4.5,1,21/09/2021,377200
"174 taffetas rd., phoenix, az",2008,1902,4.5,2,07/11/2021,357900
"12 letters rd., houston, tx",1971,1618,0,1,09/10/2021,330400
"31 vermillions rd., phoenix, az",1967,1583,3.5,1,14/10/2021,312500
"18 dutiful ave., phoenix, az",1977,1434,3.5,1,31/08/2021,241900
"14 precis st., las vegas, nv",1990,1975,4.5,1,15/09/2021,419700
"74 foremothers st., houston, tx",2019,1836,0,2,06/11/2021,346600
"71 bootlick rd., phoenix, az",2002,1577,3.5,2,13/09/2021,293000
"164 capable st., houston, tx",1968,1999,0,2,21/08/2021,381600
"86 adiantum rd., phoenix, az",2005,1494,3.5,1,27/10/2021,242000
"72 ententes st., phoenix, az",2013,1464,3.5,1,19/09/2021,239100
"137 underbodies st., atlanta, ga",1987,1711,4,2,17/09/2021,285700
"189  reunifications  st.,  atlanta,  ga",1964,1550,3.5,1,28/09/2021,277200
"13 limital st., atlanta, ga",2002,1459,3.5,2,06/08/2021,272200
"161 newtons ave., las vegas, nv",1994,1676,4,1,29/09/2021,312800
"91 vesuvius ave., atlanta, ga",1975,1646,4,2,27/07/2021,329000
"16 semiquaver ave., las vegas, nv",2001,1430,3.5,2,22/10/2021,249500
"73 unhusking rd., phoenix, az",2009,1740,4,2,22/08/2021,318400
"50 goth. rd., phoenix, az",1975,1541,3.5,2,09/08/2021,320100
"23 canebreaks st., phoenix, az",2005,1933,4.5,2,26/08/2021,306600
"178 orthostats st., phoenix, az",1997,1845,4.5,2,15/08/2021,345500
"6 countour st., phoenix, az",2004,1903,4.5,1,30/09/2021,341300
"93 pseudocode st., atlanta, ga",2006,1656,4,1,21/09/2021,333900
"80  prohibits  ave.,  las  vegas,  nv",1950,1814,4.5,2,13/11/2021,379300
"91 pushrod st., houston, tx",2018,1586,0,2,23/08/2021,253000
"141 polonization st., phoenix, az",2006,1995,4.5,2,15/09/2021,348800
"66  unlocks  st.,  las  vegas,  nv",1962,1934,4.5,1,25/10/2021,343100
"167 antifolates rd., atlanta, ga",2015,1770,4,2,22/09/2021,311400
"140 overgraze st., atlanta, ga",1974,1425,3.5,2,13/09/2021,280200
"101 purported st., las vegas, nv",1962,1528,3.5,1,19/07/2021,285400
"19 coimbatore rd., phoenix, az",1998,1995,4.5,2,31/10/2021,363100
"5 anchoretic st., houston, tx",1988,1815,0,2,01/10/2021,388700
"173  hydroskimming  rd.,  phoenix,  az",1980,1427,3.5,1,08/09/2021,245800
"182 recollectedness rd., atlanta, ga",2004,1661,4,1,07/08/2021,348600
"49 rekne ave., atlanta, ga",1985,1776,4,1,01/08/2021,287100
"38 falsecard st., phoenix, az",1957,1538,3.5,1,04/08/2021,260200
"181 interreligious st., atlanta, ga",1973,1475,3.5,2,17/10/2021,292400
"119 they've st., las vegas, nv",2007,1546,3.5,1,29/09/2021,262500
"29 wisecracking rd., phoenix, az",1999,1808,4.5,2,27/10/2021,309600
"158 storefront st., phoenix, az",1986,1924,4.5,2,07/08/2021,407600
"25 thymi rd., phoenix, az",1958,1787,4,1,24/08/2021,365000
"187 testimonials st., phoenix, az",1967,1570,3.5,1,25/08/2021,315800
"145 mildly st., phoenix, az",1980,1603,4,2,13/09/2021,303000
"81 exact st., phoenix, az",2003,1585,3.5,1,05/11/2021,291000
"199 recessiveness st., las vegas, nv",1994,1557,3.5,2,09/09/2021,266700
"192 pickering rd., phoenix, az",2018,1953,4.5,2,28/08/2021,314300
"12 sakharov st., atlanta, ga",2009,1975,4.5,2,12/08/2021,383000
"118 samba ave., houston, tx",1954,1885,0,2,12/11/2021,389600
"31 generic st., phoenix, az",1993,1978,4.5,2,18/09/2021,405000
"196 percentiles st., phoenix, az",1951,1846,4.5,2,05/09/2021,324200
"15 tricam st., las vegas, nv",1980,1464,3.5,1,01/09/2021,283100
"125 brens ave., phoenix, az",1987,1441,3.5,1,08/11/2021,267700
"14 desorb rd., atlanta, ga",2009,1484,3.5,2,24/07/2021,256300
"9 ascititious st., phoenix, az",1956,1524,3.5,1,25/08/2021,302900
"130 valuational st., phoenix, az",2003,1445,3.5,2,25/09/2021,231700
"193 orient st., las vegas, nv",1975,1639,4,2,12/11/2021,350700
"192 loons st., phoenix, az",2010,1635,4,2,09/08/2021,322500
"61  demurred  st.,  phoenix,  az",1986,1596,3.5,2,01/08/2021,272200
"76 krystin st., phoenix, az",1964,1472,3.5,1,15/10/2021,268000
"197 fricasseed rd., phoenix, az",1982,1600,4,1,09/10/2021,314200
"146 decigramme st., atlanta, ga",1952,1896,4.5,2,01/09/2021,353300
"168  exocet  rd.,  phoenix,  az",1955,1693,4,1,27/09/2021,281200
"112 german st., phoenix, az",1989,1626,4,1,13/08/2021,262000
"8 supralateral ave., atlanta, ga",1952,1852,4.5,2,08/08/2021,392600
"67 testimonial rd., las vegas, nv",1993,1822,4.5,2,05/11/2021,370200
"91 wisdom rd., phoenix, az",1967,1862,4.5,2,19/08/2021,380500
"182  couch-grass  st.,  phoenix,  az",1992,1466,3.5,1,29/08/2021,265400
"43 shake st., houston, tx",2005,1508,0,1,14/10/2021,260900
"107 stetsons rd., phoenix, az",1992,1748,4,2,28/07/2021,298900
"113 kritarchy st., las vegas, nv",1966,1870,4.5,2,08/11/2021,372000
"102 starting-place st., las vegas, nv",1986,1505,3.5,1,24/08/2021,266200
"75 bullylike rd., atlanta, ga",1958,1974,4.5,2,15/09/2021,370300
"140 perceptibility ave., phoenix, az",1977,1869,4.5,2,31/08/2021,368100
"76 misarray ave., phoenix, az",2014,1400,3.5,1,08/10/2021,300200
"103 latins st., las vegas, nv",2010,1865,4.5,2,12/10/2021,337900
"190 ground-line rd., atlanta, ga",1967,1754,4,2,01/11/2021,346800
"69  spycam  st.,  atlanta,  ga",2013,1927,4.5,2,22/10/2021,392700
"139 copygirl ave., phoenix, az",1967,1507,3.5,1,26/07/2021,267700
"188 papistical ave., phoenix, az",2019,1830,4.5,2,03/09/2021,365100
"61  raciest  st.,  las  vegas,  nv",1961,1879,4.5,2,27/10/2021,355500
"14 epicine st., atlanta, ga",1963,1462,3.5,2,08/08/2021,262400
"33 enstrophy ave., phoenix, az",1951,1676,4,1,13/11/2021,291500
"38 parliament ave., phoenix, az",1986,1597,3.5,2,09/09/2021,310000
"6 kinescope ave., houston, tx",1986,1588,0,1,10/10/2021,290700
"1 pricket st., las vegas, nv",2013,1602,4,2,28/07/2021,325100
"160 goofball rd., atlanta, ga",2006,1773,4,1,03/11/2021,366700
"86 brogues ave., phoenix, az",1977,1680,4,2,19/08/2021,361900
"22  wiseacre  rd.,  phoenix,  az",2014,1564,3.5,1,20/07/2021,262700
"121 blessing st., houston, tx",1958,1524,0,2,05/08/2021,300900
"85 cognomens rd., atlanta, ga",1989,1748,4,2,24/09/2021,373400
"32  insuit  st.,  phoenix,  az",2016,1580,3.5,1,05/10/2021,299600
"117 broadlooms ave., atlanta, ga",2014,1875,4.5,1,25/09/2021,332100
"64 ileal rd., phoenix, az",1989,1493,3.5,2,23/09/2021,244300
"123 fairs rd., atlanta, ga",2000,1548,3.5,1,18/09/2021,293700
"189  megalithic  st.,  phoenix,  az",2011,1588,3.5,1,15/08/2021,249600
"29 melanterite st., atlanta, ga",1982,1597,3.5,1,29/10/2021,358200
"27  levis  st.,  houston,  tx",1984,1944,0,2,27/10/2021,399100
"6 esfand rd., houston, tx",2010,1775,0,2,24/07/2021,316400
"1 pricket st., las vegas, nv",2013,1602,4,2,28/07/2021,325100
"95 kilohms rd., atlanta, ga",1953,1547,3.5,1,19/10/2021,274400
"91 snuffy st., las vegas, nv",1982,1416,3.5,1,27/08/2021,245200
"23 postsurgery ave., phoenix, az",1970,1539,3.5,2,25/10/2021,274700
"195 proposition st., atlanta, ga",1994,1823,4.5,2,05/08/2021,369000
"55  seekable  ave.,  las  vegas,  nv",2005,1840,4.5,2,26/09/2021,404500
"182 mollusca rd., atlanta, ga",2017,1885,4.5,1,21/07/2021,419400
"198 unfarmable st., las vegas, nv",1971,1856,4.5,2,26/10/2021,395100
"106 define st., las vegas, nv",1960,1625,4,2,12/09/2021,276200
"161 nvcjd ave., houston, tx",1955,1458,0,1,04/09/2021,259200
"169  hardballers  rd.,  phoenix,  az",2018,1498,3.5,1,28/07/2021,256300
"83 boy scouts st., phoenix, az",1976,1861,4.5,2,17/09/2021,326700
"24 laddy st., atlanta, ga",1970,1474,3.5,1,21/07/2021,262900
"137 misgovernment st., phoenix, az",1954,1991,4.5,1,04/11/2021,338000
"115  gonal  st.,  phoenix,  az",1985,1644,4,2,22/10/2021,326100
"79 forenamed st., phoenix, az",2001,1905,4.5,2,13/11/2021,376600
"88 intracranially rd., atlanta, ga",1968,1848,4.5,2,03/09/2021,325400
"36 lammer st., phoenix, az",2000,1899,4.5,1,02/08/2021,332100
"176 neatest st., phoenix, az",1981,1647,4,2,16/09/2021,343200
"89 stereocilium st., atlanta, ga",2012,1512,3.5,2,03/11/2021,294800
"107 appropriations st., las vegas, nv",1985,1933,4.5,1,20/08/2021,371000
"171 unitarized ave., las vegas, nv",1990,1720,4,1,27/09/2021,330700
"93 vestry-board rd., atlanta, ga",1958,1954,4.5,1,05/09/2021,359300
"145 tinty rd., phoenix, az",1982,1729,4,1,11/09/2021,310100
"29 zionazi rd., las vegas, nv",1981,1909,4.5,2,12/11/2021,361300
"156 intervenant rd., atlanta, ga",1992,1818,4.5,2,10/08/2021,343700
"68 stone-yard st., phoenix, az",1962,1725,4,2,07/09/2021,355900
"139 overgrain ave., phoenix, az",1967,1552,3.5,1,11/10/2021,249800
"13 boylover st., atlanta, ga",2017,1680,4,1,10/11/2021,301500
"1 whiskeys ave., houston, tx",2012,1568,0,1,25/07/2021,243000
"56 bookoo ave., phoenix, az",1989,1563,3.5,1,13/08/2021,328600
"115 pigopolists rd., phoenix, az",1991,1837,4.5,1,30/07/2021,353600
"68 africanness rd., phoenix, az",1996,1991,4.5,2,05/11/2021,331100
"200 duplicates st., phoenix, az",1980,1625,4,2,25/10/2021,302100
"27 eversions st., atlanta, ga",2008,1893,4.5,2,18/08/2021,361100
"123 wood-chip rd., atlanta, ga",1975,1600,4,2,01/09/2021,267700
"184 sexlike st., phoenix, az",1989,1574,3.5,1,17/09/2021,303600
"81 diving-board st., las vegas, nv",2001,1433,3.5,1,30/08/2021,282700
"110 sternwards ave., atlanta, ga",1985,1789,4,2,16/08/2021,364700
"51 nociception ave., las vegas, nv",1957,1830,4.5,2,10/08/2021,298900
"60 maketh st., phoenix, az",1979,1436,3.5,2,08/09/2021,294500
"25 single-surfaced ave., atlanta, ga",2009,1811,4.5,2,24/09/2021,311100
"160 unobjectionably st., phoenix, az",2004,1625,4,1,26/10/2021,329300
"17 foreshadow st., atlanta, ga",1996,1596,3.5,1,05/10/2021,333100
"176 tautonym ave., phoenix, az",1967,1704,4,1,06/08/2021,346900
"2 indigence st., las vegas, nv",1961,1941,4.5,1,25/09/2021,400400
"45 air-engine ave., atlanta, ga",1969,1954,4.5,2,09/10/2021,324200
"26  bovini  rd.,  phoenix,  az",1964,1667,4,2,01/09/2021,353300
"27 shirring st., houston, tx",1998,1572,0,1,17/10/2021,312300
"73 ankyroid st., las vegas, nv",1982,1919,4.5,2,13/08/2021,352100
"29 asana rd., las vegas, nv",2018,1834,4.5,1,29/09/2021,308400
"129 bands st., atlanta, ga",2019,1908,4.5,1,06/09/2021,354600
"74 southering ave., las vegas, nv",2010,1662,4,2,17/10/2021,286200
"6 nattiness rd., atlanta, ga",1970,1782,4,1,18/09/2021,340900
"57  artisticism  st.,  las  vegas,  nv",2000,1913,4.5,1,12/08/2021,390200
"74 pfennig st., las vegas, nv",2014,1932,4.5,1,11/10/2021,375800
"189  squiggly  st.,  phoenix,  az",1977,1520,3.5,1,24/09/2021,313200
"0 tushies st., las vegas, nv",1978,1747,4,2,06/10/2021,352800
"28 shearing st., phoenix, az",1986,1997,4.5,2,19/09/2021,314300
"57  reincarnated  ave.,  atlanta,  ga",1999,1460,3.5,1,26/08/2021,257400
"170 snookered rd., las vegas, nv",1995,1457,3.5,2,03/11/2021,294100
"37 bytecodes st., atlanta, ga",1955,1673,4,2,12/10/2021,301800
"109  pyrolyzing  rd.,  phoenix,  az",1971,1482,3.5,2,29/09/2021,300500
"193 indicible st., atlanta, ga",1960,1739,4,2,18/09/2021,296800
"138 lucullian rd., houston, tx",1972,1483,0,2,14/10/2021,287200
"183 subtrapezoidal rd., phoenix, az",1999,1479,3.5,1,01/08/2021,265200
"69 rheumatologists rd., las vegas, nv",1997,1600,4,1,31/10/2021,330700
"177  gibed  st.,  phoenix,  az",1974,1622,4,2,21/10/2021,287400
"179 garden state ave., las vegas, nv",1955,1685,4,1,12/09/2021,325800
"172 underbids st., atlanta, ga",2019,1673,4,1,14/09/2021,304600
"180 arguments st., las vegas, nv",1996,1586,3.5,1,04/10/2021,302500
"57 unriddler st., phoenix, az",2018,1959,4.5,1,14/10/2021,324400
"125 evensong st., phoenix, az",2008,1894,4.5,2,07/08/2021,346200
"52 mervailes ave., phoenix, az",1954,1865,4.5,2,11/09/2021,390900
"4 loudhailers st., atlanta, ga",2005,1704,4,2,22/07/2021,336200
"45 brandishing ave., phoenix, az",1972,1944,4.5,2,23/10/2021,345400
"194 aweful st., atlanta, ga",1963,1861,4.5,2,23/08/2021,402500
"194 jokingly rd., phoenix, az",1950,1958,4.5,2,22/09/2021,360000
"60 categorical st., phoenix, az",1996,1809,4.5,2,17/10/2021,318600
"42 cenacle st., phoenix, az",2019,1958,4.5,2,08/08/2021,400600
"2 hydrocyanide st., phoenix, az",2009,1707,4,2,08/08/2021,288300
"107 passado rd., phoenix, az",1971,1621,4,2,14/10/2021,280900
"121 rake-head st., houston, tx",1964,1919,0,1,12/11/2021,347900
"29 pot-hunting st., houston, tx",1950,1437,0,1,14/10/2021,253300
"66 letter rd., houston, tx",1985,1857,0,2,26/09/2021,352400
"87 decompound st., las vegas, nv",1990,1806,4.5,1,20/07/2021,319400
"169  hardballers  rd.,  phoenix,  az",2018,1498,3.5,1,28/07/2021,256300
"17 foreshadow st., atlanta, ga",1996,1596,3.5,1,05/10/2021,333100
"30 bladesmiths st., phoenix, az",1994,1843,4.5,2,14/11/2021,348900
"103  philanthropical  ave.,  phoenix,  az",2009,1436,3.5,1,05/09/2021,273300
"71 allusively st., las vegas, nv",1973,1815,4.5,1,03/08/2021,280500
"28  mustafa  st.,  atlanta,  ga",1970,1506,3.5,1,13/08/2021,285200
"82 petro-occipital rd., atlanta, ga",1977,1480,3.5,2,05/09/2021,268400
"24 gimped rd., atlanta, ga",2016,1732,4,1,17/09/2021,301400
"105 preened st., atlanta, ga",1996,1560,3.5,2,12/10/2021,326500
"112 shiphandler ave., houston, tx",1985,1750,0,2,30/09/2021,298100
"161 intuïtion ave., atlanta, ga",1984,1711,4,2,07/09/2021,356700
"32 ircers rd., phoenix, az",1991,1491,3.5,2,11/08/2021,253000
"30 parakeets rd., phoenix, az",1987,1438,3.5,2,16/08/2021,237500
"5 yielder st., phoenix, az",1979,1718,4,2,18/07/2021,303100
"1 rubible st., houston, tx",2010,1631,0,2,30/08/2021,287700
"28  mustafa  st.,  atlanta,  ga",1970,1506,3.5,1,13/08/2021,285200
"109 suctoria st., atlanta, ga",1996,1641,4,1,30/08/2021,316300
"2 persecutive ave., atlanta, ga",2000,1947,4.5,2,04/11/2021,373000
"168 interims st., phoenix, az",1956,1802,4.5,1,25/07/2021,319600
"179 coincide ave., las vegas, nv",2005,1975,4.5,2,20/10/2021,341800
"87 fa-la ave., phoenix, az",2012,1781,4,1,21/08/2021,351200
"161 tomboyish st., phoenix, az",1981,1427,3.5,1,04/11/2021,300300
"162  oustees  rd.,  phoenix,  az",2006,1738,4,2,08/09/2021,322800
"91 curbstones st., las vegas, nv",1959,1648,4,1,22/07/2021,292300
"125 hireless st., atlanta, ga",1989,1710,4,1,23/09/2021,272300
"65 azyme st., atlanta, ga",1975,1826,4.5,2,12/08/2021,393000
"139 toothful rd., atlanta, ga",2014,1831,4.5,2,17/10/2021,307100
"121 ombrifuge ave., houston, tx",2016,1959,0,2,03/10/2021,348800
"18 magistratical rd., phoenix, az",1996,1733,4,1,01/10/2021,330300
"162 abbasi rd., las vegas, nv",1993,1914,4.5,2,04/11/2021,330000
"49 girted ave., atlanta, ga",1969,1407,3.5,1,28/07/2021,244900
"164 mithraist rd., atlanta, ga",1956,1778,4,1,14/08/2021,377600
"97 harbored st., houston, tx",1962,1450,0,1,15/08/2021,312300
"124 preformative st., atlanta, ga",1972,1671,4,2,14/11/2021,330100
"129 quaintly st., phoenix, az",2012,1642,4,1,24/10/2021,349900
"120 queest ave., las vegas, nv",2018,1859,4.5,2,23/07/2021,380300
"182 incredulously st., phoenix, az",1999,1458,3.5,1,13/09/2021,266800
"66 whalemen st., atlanta, ga",1981,1713,4,2,11/10/2021,315900
"144 easement st., atlanta, ga",1951,1548,3.5,1,15/09/2021,285400
"192 opiniatry ave., atlanta, ga",1976,1976,4.5,1,30/09/2021,390200
"116 guillemet rd., houston, tx",2012,1646,0,2,15/10/2021,269800
"182 lipidic st., phoenix, az",2016,1994,4.5,1,12/09/2021,355700
"43 l'aquila st., phoenix, az",2000,1997,4.5,2,05/11/2021,357200
"131 surveyorship rd., atlanta, ga",1967,1481,3.5,1,17/09/2021,273400
"14 lasters rd., atlanta, ga",1984,1645,4,2,28/07/2021,286800
"47 obama ave., atlanta, ga",1963,1478,3.5,2,23/07/2021,247200
"26 money st., atlanta, ga",1991,1725,4,1,05/09/2021,308200
"48 proscribe ave., atlanta, ga",1962,1718,4,1,21/07/2021,315000
"177 unenergetically ave., phoenix, az",1955,1569,3.5,1,28/10/2021,277600
"61 arachnidian st., las vegas, nv",1972,1436,3.5,2,16/09/2021,308800
"119 they've st., las vegas, nv",2007,1546,3.5,1,29/09/2021,262500
"180 persuasion ave., atlanta, ga",2014,1941,4.5,2,12/10/2021,334000
"89 allograph rd., phoenix, az",1996,1410,3.5,1,18/07/2021,260300
"182 plastidule rd., atlanta, ga",1958,1483,3.5,2,13/11/2021,313900
"133 massilian st., phoenix, az",1969,1778,4,1,23/10/2021,380300
"51 nociception ave., las vegas, nv",1957,1830,4.5,2,10/08/2021,298900
"86 dentate ave., phoenix, az",2000,1589,3.5,1,05/08/2021,326800
"5 universalizes st., phoenix, az",1979,1773,4,1,20/07/2021,359800
"29 deep-mouthed st., phoenix, az",1965,1704,4,1,23/10/2021,334900
"53 intensional rd., houston, tx",1962,1857,0,2,09/11/2021,343900
"56 triple-header st., las vegas, nv",2002,1789,4,1,08/09/2021,325200
"71 miscapitalizes rd., phoenix, az",2002,1992,4.5,2,22/07/2021,361700
"169 ambeer st., atlanta, ga",1983,1997,4.5,1,02/09/2021,425400
"52 school-teacher st., phoenix, az",1960,1889,4.5,2,28/07/2021,411800
"74 goulashes st., houston, tx",1957,1895,0,2,11/09/2021,331100
"53 agoggled rd., phoenix, az",1950,1856,4.5,1,21/07/2021,378600
"136 cretian st., atlanta, ga",2010,1441,3.5,1,19/10/2021,282100
"82 bosun st., atlanta, ga",2018,1831,4.5,2,14/08/2021,320300
"187 higgs ave., phoenix, az",1993,1954,4.5,2,21/10/2021,324000
"157 trypanosoma st., phoenix, az",1959,1886,4.5,2,15/09/2021,314600
"164 burthened st., houston, tx",1970,1782,0,2,06/08/2021,298800
"15 undiademed ave., atlanta, ga",1999,1854,4.5,2,01/10/2021,355800
"56 pullets rd., phoenix, az",1989,1722,4,1,30/08/2021,339400
"1 speedways rd., las vegas, nv",1962,1698,4,1,06/10/2021,369900
"159 with-holds rd., phoenix, az",1982,1626,4,2,24/09/2021,289000
"182 asteer st., atlanta, ga",1961,1729,4,2,02/10/2021,276700
"40 moderationist st., houston, tx",1977,1840,0,2,09/08/2021,336600
"45 outreached rd., atlanta, ga",1998,1416,3.5,1,04/10/2021,257400
"49 rynchops st., phoenix, az",1983,1898,4.5,2,03/11/2021,339900
"139 sexiness st., atlanta, ga",1984,1521,3.5,2,30/08/2021,303200
"135 druidic st., atlanta, ga",1997,1400,3.5,2,20/10/2021,270500
"194 worke rd., atlanta, ga",1956,1660,4,2,31/08/2021,347500
"166 egotist st., las vegas, nv",1994,1944,4.5,2,20/08/2021,390600
"104 biomimetics rd., phoenix, az",2017,1457,3.5,1,19/10/2021,250000
"197 chorioiditis ave., atlanta, ga",1992,1608,4,2,22/09/2021,267300
"109 squall st., houston, tx",1971,1568,0,1,22/07/2021,289300
"17 doorbuster st., phoenix, az",1999,1825,4.5,2,07/08/2021,300800
"16 orioles st., atlanta, ga",1989,1785,4,2,12/10/2021,340400
"186 transept st., phoenix, az",1983,1482,3.5,1,18/09/2021,256500
"155 enjoined st., phoenix, az",1952,1924,4.5,2,19/07/2021,400000
"159 hi-hat ave., phoenix, az",1996,1828,4.5,2,29/09/2021,354500
"196 realism rd., phoenix, az",1977,1675,4,1,09/10/2021,368000
"154 bumps st., phoenix, az",1966,1854,4.5,1,26/07/2021,377800
"132 complexed rd., phoenix, az",2010,1411,3.5,1,27/08/2021,274800
"25 gaunt st., atlanta, ga",1969,1723,4,1,23/10/2021,361300
"145 throne speech st., atlanta, ga",1953,1633,4,2,25/10/2021,292700
"21 boning-knife st., phoenix, az",1959,1790,4,2,10/08/2021,373900
"116 hondo st., las vegas, nv",1958,1915,4.5,2,09/10/2021,399200
"79 cahuilla ave., houston, tx",2001,1979,0,1,04/09/2021,389800
"170 heriots rd., las vegas, nv",1959,1508,3.5,1,18/07/2021,257600
"111 dimerised rd., phoenix, az",1999,1557,3.5,1,29/09/2021,288800
"86 lassitude st., atlanta, ga",2004,1919,4.5,1,11/11/2021,369500
"54 new wave st., atlanta, ga",1956,1435,3.5,1,15/10/2021,286700
"161 barça st., las vegas, nv",2014,1536,3.5,1,23/08/2021,309800
"163 peepul st., houston, tx",1988,1425,0,1,12/08/2021,276900
"104 ingraining st., houston, tx",1996,1422,0,1,19/08/2021,283300
"19 forthwithal rd., atlanta, ga",1956,1404,3.5,1,03/08/2021,241300
"119 condiment st., las vegas, nv",1961,1884,4.5,2,05/11/2021,360400
"125  murdering-piece  st.,  phoenix,  az",2011,1925,4.5,2,24/07/2021,384300
"69 233-year st., atlanta, ga",2007,1538,3.5,1,24/09/2021,294800
"13  gopher  st.,  phoenix,  az",2015,1629,4,2,03/08/2021,295700
"123 attemperance rd., atlanta, ga",1965,1806,4.5,2,06/08/2021,367700
"115 endmember st., atlanta, ga",1966,1447,3.5,1,22/09/2021,259700
"72 annulated ave., phoenix, az",2014,1701,4,2,22/08/2021,293000
"24 broom-sedge st., las vegas, nv",1966,1671,4,2,24/10/2021,301300
