Address,Last Status Date,List Price,Offer Price,Status
"105 Watchmaking Ave., Atlanta, GA",2021-09-28,318700,312300,Offer Rejected - Price Too Low
"2 Pitaya Rd., Phoenix, AZ",2021-07-27,254400,256900,Offer Rejected - Price Too Low
"83 Affectionates Ave., Las Vegas, NV",2021-11-21,294400,299300,Offer Rejected - Price Too Low
"145 Rack-renter Rd., Atlanta, GA",2021-09-04,306200,302000,Offer Rejected - Price Too Low
"189 Unwooed Ave., Las Vegas, NV",2021-08-10,225300,240000,Offer Rejected - Price Too Low
"166 Rounds St., Phoenix, AZ",2021-10-29,253900,265900,Offer Rejected - Price Too Low
"182 Paulista Ave., Las Vegas, NV",2021-08-23,236900,246100,Offer Rejected - Pending
"141 Outrageously Rd., Las Vegas, NV",2021-08-22,309400,338300,Offer Rejected - Price Too Low
"140 Omkars St., Phoenix, AZ",2021-08-21,351200,362200,Offer Rejected - Price Too Low
"43 Ivied St., Atlanta, GA",2021-11-22,295400,297900,Offer Rejected - Price Too Low
"150 Trustworthily St., Atlanta, GA",2021-08-17,258200,263600,Closed
"26 Asteroseismic St., Phoenix, AZ",2021-09-11,332500,335800,Offer Rejected - Price Too Low
"173 Vivifier St., Phoenix, AZ",2021-11-01,266500,269700,Offer Rejected - Price Too Low
"55 Seekable Ave., Las Vegas, NV",2021-09-26,364800,368400,Offer Rejected - Price Too Low
"33 Tripart Rd., Phoenix, AZ",2021-09-20,325900,326900,Offer Rejected - Price Too Low
"9 Trinitarian Ave., Atlanta, GA",2021-08-04,312100,315600,Offer Rejected - Price Too Low
"125 Long-tongued Rd., Atlanta, GA",2021-08-04,242200,243100,Offer Rejected - Price Too Low
"74 Stepgrandfather Ave., Houston, TX",2021-10-13,328600,363400,Closed
"60 Chitinous Rd., Phoenix, AZ",2021-07-20,348900,348200,Offer Rejected - Price Too Low
"135 Lawncare St., Atlanta, GA",2021-07-20,255300,267400,Offer Rejected - Price Too Low
"159 Syphiloma St., Atlanta, GA",2021-09-09,287800,310900,Offer Rejected - Price Too Low
"65 Ubidecarenone St., Houston, TX",2021-11-22,346700,364900,Offer Rejected - Price Too Low
"168 Budgetary Rd., Phoenix, AZ",2021-11-28,266800,269800,Offer Rejected - Price Too Low
"172 Fishway Ave., Atlanta, GA",2021-12-14,283000,303700,Closed
"138 Quickie St., Phoenix, AZ",2021-09-04,344300,361600,Offer Rejected - Pending
"85 Over-correct Ave., Atlanta, GA",2021-09-26,280000,308500,Closed
"15 Ebullient Rd., Phoenix, AZ",2021-08-04,289500,290800,Offer Rejected - Price Too Low
"8 Unruffled Rd., Atlanta, GA",2021-10-04,333100,335600,Offer Rejected - Price Too Low
"39 Square-cut St., Phoenix, AZ",2021-10-04,278200,290500,Offer Rejected - Price Too Low
"80 Nonhidden St., Las Vegas, NV",2021-09-20,293400,307100,Offer Rejected - Price Too Low
"102 Factorially St., Phoenix, AZ",2021-12-03,236000,246200,Offer Rejected - Price Too Low
"4 Landslip St., Las Vegas, NV",2021-12-05,321800,335300,Offer Rejected - Price Too Low
"56 Individualizing St., Phoenix, AZ",2021-12-08,361200,380400,Closed
"183 Obesogen St., Phoenix, AZ",2021-10-26,285700,288600,Offer Rejected - Price Too Low
"26 Saint-Louis St., Las Vegas, NV",2021-08-25,305800,307300,Offer Rejected - Price Too Low
"47 Lemminglike Rd., Las Vegas, NV",2021-12-13,266600,271700,Offer Rejected - Price Too Low
"23 Matress Ave., Phoenix, AZ",2021-08-04,294200,294100,Offer Rejected - Price Too Low
"10 Covered St., Atlanta, GA",2021-11-22,293300,289900,Offer Rejected - Price Too Low
"49 Guide-iron Rd., Atlanta, GA",2021-10-22,289400,296700,Offer Rejected - Price Too Low
"131 Parlourmaids Rd., Phoenix, AZ",2021-09-19,264100,287100,Closed
"2 Jeeringly Ave., Phoenix, AZ",2021-08-30,345200,381400,Closed
"139 Hipsterish St., Las Vegas, NV",2021-10-23,331100,356900,Offer Rejected - Price Too Low
"116 Hondo St., Las Vegas, NV",2021-10-09,381600,392400,Offer Rejected - Price Too Low
"197 King-parrot Ave., Las Vegas, NV",2021-09-30,299800,309000,Offer Rejected - Price Too Low
"198 Overcoming Ave., Phoenix, AZ",2021-10-10,306600,322600,Offer Rejected - Price Too Low
"47 Polype Rd., Phoenix, AZ",2021-08-31,289000,309700,Offer Rejected - Price Too Low
"60 Categorical St., Phoenix, AZ",2021-10-17,285200,296900,Offer Rejected - Price Too Low
"51 Undockable Ave., Phoenix, AZ",2021-08-01,282000,283500,Offer Rejected - Price Too Low
"154 Faecula Ave., Phoenix, AZ",2021-07-23,281600,288700,Offer Rejected - Price Too Low
"178 Posied St., Atlanta, GA",2021-10-09,258700,286300,Offer Rejected - Price Too Low
"93 Digha Rd., Las Vegas, NV",2021-10-11,337800,344000,Offer Rejected - Price Too Low
"0 Milkwagon St., Phoenix, AZ",2021-07-20,326300,341600,Offer Rejected - Price Too Low
"120 Hyacinthine St., Atlanta, GA",2021-10-14,348400,370900,Offer Rejected - Price Too Low
"106 Hyphomycete St., Phoenix, AZ",2021-09-28,279400,283700,Offer Rejected - Price Too Low
"105 Twicer Ave., Houston, TX",2021-08-01,341500,363400,Closed
"161 Hypocortisolism St., Phoenix, AZ",2021-08-13,303100,315100,Offer Rejected - Price Too Low
"58 Osmotaxis Ave., Atlanta, GA",2021-08-10,324500,341600,Offer Rejected - Pending
"160 Single-spaced St., Atlanta, GA",2021-10-20,371100,363600,Offer Rejected - Price Too Low
"82 Journeyman St., Las Vegas, NV",2021-10-01,258800,277400,Offer Rejected - Price Too Low
"172 Underbids St., Atlanta, GA",2021-09-14,290700,304600,Closed
"176 Desolated St., Atlanta, GA",2021-08-08,334600,346700,Offer Rejected - Price Too Low
"136 Wing-bar St., Phoenix, AZ",2021-08-27,397900,424300,Closed
"53 Interregal St., Phoenix, AZ",2021-10-10,325400,345000,Offer Rejected - Price Too Low
"193 Ululation Rd., Phoenix, AZ",2021-11-21,254000,251800,Offer Rejected - Price Too Low
"103 Stridently Ave., Phoenix, AZ",2021-09-13,305700,313600,Offer Rejected - Price Too Low
"142 Nonoptical Ave., Las Vegas, NV",2021-10-08,320000,351400,Offer Rejected - Price Too Low
"36 Naphthalin Ave., Houston, TX",2021-08-20,284000,302100,Offer Rejected - Price Too Low
"167 Missiles Rd., Phoenix, AZ",2021-09-01,271500,290400,Closed
"53 Intensional Rd., Houston, TX",2021-11-09,333700,339400,Offer Rejected - Price Too Low
"24 Dibromo Ave., Las Vegas, NV",2021-08-27,268600,280800,Offer Rejected - Price Too Low
"114 White-eyed St., Atlanta, GA",2021-11-10,293900,306600,Closed
"74 Flipping St., Atlanta, GA",2021-08-12,288000,300700,Offer Rejected - Price Too Low
"29 Nonequivalence Ave., Atlanta, GA",2021-08-26,285700,281200,Offer Rejected - Price Too Low
"30 Microlepidotus Ave., Phoenix, AZ",2021-09-30,287700,299400,Closed
"71 Outdistance St., Atlanta, GA",2021-11-26,332800,329200,Offer Rejected - Price Too Low
"107 Subrector Rd., Atlanta, GA",2021-09-05,314500,335800,Offer Rejected - Price Too Low
"178 Heron St., Las Vegas, NV",2021-08-16,298100,294100,Offer Rejected - Price Too Low
"18 Kentish St., Atlanta, GA",2021-10-30,359100,379100,Offer Rejected - Price Too Low
"106 Tribute Rd., Las Vegas, NV",2021-10-28,249800,267500,Closed
"168 Incivilization St., Phoenix, AZ",2021-08-23,288500,315900,Closed
"8 Twattler St., Houston, TX",2021-12-04,321700,350600,Closed
"142 Yankee Ave., Houston, TX",2021-07-18,279900,282100,Offer Rejected - Price Too Low
"30 Cringers St., Atlanta, GA",2021-12-14,251900,274100,Offer Rejected - Price Too Low
"172 Indispose Rd., Phoenix, AZ",2021-10-25,339400,367600,Closed
"101 Decerebration Ave., Atlanta, GA",2021-12-10,353800,374100,Offer Rejected - Price Too Low
"102 Maledicted St., Phoenix, AZ",2021-09-19,340400,360600,Offer Rejected - Price Too Low
"88 Underback St., Las Vegas, NV",2021-10-15,323500,335500,Offer Rejected - Price Too Low
"116 Triformity Ave., Phoenix, AZ",2021-09-03,304100,326700,Offer Rejected - Price Too Low
"134 Thrivings Rd., Atlanta, GA",2021-10-08,335700,357400,Closed
"160 Yaourt St., Las Vegas, NV",2021-11-06,251000,270500,Offer Rejected - Price Too Low
"113 Deoxygenated Ave., Phoenix, AZ",2021-11-18,321400,319100,Offer Rejected - Price Too Low
"37 Progenitorship St., Las Vegas, NV",2021-10-04,236800,237600,Offer Rejected - Price Too Low
"12 Improvisation St., Atlanta, GA",2021-09-24,290800,293600,Offer Rejected - Pending
"77 Copolymers Rd., Phoenix, AZ",2021-09-01,315100,331900,Offer Rejected - Price Too Low
"75 Cost-free Ave., Las Vegas, NV",2021-07-23,259900,286400,Offer Rejected - Pending
"182 Boronates St., Phoenix, AZ",2021-11-17,348000,365700,Offer Rejected - Price Too Low
"24 Megafaunas Ave., Atlanta, GA",2021-11-01,233000,244700,Closed
"81 Yours Ave., Las Vegas, NV",2021-12-05,316200,317400,Offer Rejected - Price Too Low
"149 Trapezium St., Las Vegas, NV",2021-12-06,259100,264900,Offer Rejected - Price Too Low
"53 Quickness St., Phoenix, AZ",2021-07-24,371200,390400,Offer Rejected - Price Too Low
"43 McGillivray St., Atlanta, GA",2021-09-25,219700,234200,Offer Rejected - Price Too Low
"111 Allen Ave., Phoenix, AZ",2021-09-13,308000,318600,Offer Rejected - Price Too Low
"176 Reversibly St., Phoenix, AZ",2021-08-10,330200,342600,Offer Rejected - Price Too Low
"9 Parrotted Ave., Las Vegas, NV",2021-08-13,349000,378300,Offer Rejected - Price Too Low
"151 Theoline St., Phoenix, AZ",2021-11-17,340200,331000,Offer Rejected - Price Too Low
"72 Squalidly St., Phoenix, AZ",2021-08-24,323500,343600,Offer Rejected - Price Too Low
"111 Gemmology Rd., Las Vegas, NV",2021-12-12,262400,262900,Offer Rejected - Price Too Low
"145 Kamau Ave., Las Vegas, NV",2021-11-22,211500,227200,Closed
"4 Trend St., Phoenix, AZ",2021-11-04,367500,402300,Closed
"120 Wolflings St., Phoenix, AZ",2021-11-13,347300,359300,Offer Rejected - Price Too Low
"157 Colville St., Atlanta, GA",2021-09-17,307400,321000,Offer Rejected - Price Too Low
"74 Wonder-wounded St., Las Vegas, NV",2021-09-16,275800,274100,Offer Rejected - Price Too Low
"37 Inhomogeneously Ave., Phoenix, AZ",2021-08-11,223200,245500,Closed
"156 Bezoartic Ave., Phoenix, AZ",2021-11-21,310100,326000,Offer Rejected - Price Too Low
"91 Pacane St., Houston, TX",2021-09-06,251200,246100,Offer Rejected - Price Too Low
"155 Uncommerciable St., Phoenix, AZ",2021-09-05,266800,270700,Offer Rejected - Price Too Low
"72 Bursters Rd., Phoenix, AZ",2021-09-22,318300,318600,Offer Rejected - Price Too Low
"11 Snoozes Rd., Phoenix, AZ",2021-08-17,264700,263700,Offer Rejected - Price Too Low
"62 Orographical Ave., Phoenix, AZ",2021-11-27,286700,293200,Offer Rejected - Price Too Low
"132 Cryogenics Ave., Phoenix, AZ",2021-10-12,274100,275300,Offer Rejected - Price Too Low
"146 Palampore Rd., Phoenix, AZ",2021-08-30,335300,356600,Closed
"71 Unelaborated Ave., Atlanta, GA",2021-10-14,321000,337600,Offer Rejected - Price Too Low
"174 Equiseta Ave., Atlanta, GA",2021-10-12,310500,309600,Offer Rejected - Price Too Low
"176 Fruit-bud St., Phoenix, AZ",2021-08-16,306300,320500,Closed
"60 Eczematous St., Las Vegas, NV",2021-08-22,276700,272500,Offer Rejected - Pending
"132 Heartfeltly Ave., Phoenix, AZ",2021-09-22,254600,253600,Offer Rejected - Price Too Low
"170 Pluvious St., Phoenix, AZ",2021-10-07,289200,306700,Offer Rejected - Price Too Low
"54 Boundaryless Rd., Las Vegas, NV",2021-09-04,275400,285200,Offer Rejected - Price Too Low
"81 Feyness St., Phoenix, AZ",2021-11-05,287300,307900,Closed
"141 Unburdens Ave., Las Vegas, NV",2021-11-01,291000,303200,Offer Rejected - Price Too Low
"175 Signator Rd., Las Vegas, NV",2021-09-18,345500,347900,Offer Rejected - Price Too Low
"40 Interrogatee Rd., Phoenix, AZ",2021-11-21,263000,278800,Offer Rejected - Price Too Low
"180 Libretto St., Las Vegas, NV",2021-11-15,359300,373200,Offer Rejected - Price Too Low
"44 Sinecurists St., Atlanta, GA",2021-11-04,272100,289600,Offer Rejected - Price Too Low
"89 Viner St., Houston, TX",2021-09-10,342400,361500,Offer Rejected - Price Too Low
"108 Deaconry Rd., Phoenix, AZ",2021-08-24,293400,287300,Offer Rejected - Price Too Low
"198 Richard III St., Atlanta, GA",2021-09-09,291400,322000,Closed
"72 Drinke St., Atlanta, GA",2021-12-05,248300,256900,Offer Rejected - Price Too Low
"49 Paragenesis St., Phoenix, AZ",2021-08-09,228500,230300,Offer Rejected - Price Too Low
"171 Transducers St., Phoenix, AZ",2021-09-04,389700,412900,Offer Rejected - Price Too Low
"157 Nizhny Novgorod St., Las Vegas, NV",2021-11-01,289200,286800,Offer Rejected - Price Too Low
"168 Pallidity St., Phoenix, AZ",2021-11-16,359200,375200,Closed
"76 Over-crowding Ave., Atlanta, GA",2021-09-23,245500,266100,Closed
"120 Weareth St., Las Vegas, NV",2021-12-12,229700,237400,Offer Rejected - Price Too Low
"158 Anathematisms Rd., Las Vegas, NV",2021-11-12,246400,251200,Offer Rejected - Price Too Low
"196 Forepersons St., Atlanta, GA",2021-07-18,264200,273500,Offer Rejected - Price Too Low
"6 Rumors St., Phoenix, AZ",2021-08-31,341000,361200,Offer Rejected - Price Too Low
"79 Pooled Rd., Phoenix, AZ",2021-09-04,237300,248500,Offer Rejected - Price Too Low
"4 Umping Ave., Atlanta, GA",2021-08-30,297900,315200,Closed
"173 Intubations St., Phoenix, AZ",2021-10-05,293000,287600,Offer Rejected - Price Too Low
"53 Journey-bated Rd., Phoenix, AZ",2021-10-01,343600,355000,Offer Rejected - Price Too Low
"41 Trichromacy Ave., Houston, TX",2021-08-31,257500,275300,Closed
"158 Unapprehended Ave., Las Vegas, NV",2021-10-24,230700,244700,Offer Rejected - Price Too Low
"7 Bedsted St., Atlanta, GA",2021-08-16,281300,293000,Offer Rejected - Price Too Low
"144 Operads Rd., Phoenix, AZ",2021-08-07,287400,304200,Offer Rejected - Pending
"106 Transrepression Ave., Atlanta, GA",2021-08-15,299300,319500,Closed
"44 Micaceous Ave., Phoenix, AZ",2021-10-23,300700,309000,Offer Rejected - Price Too Low
"60 Uncompresses Rd., Phoenix, AZ",2021-11-23,308100,336100,Closed
"90 Frivilous Rd., Atlanta, GA",2021-08-09,269200,285200,Closed
"119 Oriental Rd., Las Vegas, NV",2021-09-21,258600,277300,Offer Rejected - Pending
"154 Snarliest St., Atlanta, GA",2021-11-30,239000,259000,Offer Rejected - Price Too Low
"56 Druggier Rd., Phoenix, AZ",2021-10-09,228700,226000,Offer Rejected - Price Too Low
"175 Melling St., Houston, TX",2021-12-11,242600,245100,Offer Rejected - Pending
"158 Upfronts Ave., Phoenix, AZ",2021-10-08,252000,258900,Offer Rejected - Price Too Low
"11 Costello St., Phoenix, AZ",2021-08-26,265600,287400,Offer Rejected - Pending
"54 Epistemology Rd., Atlanta, GA",2021-09-17,223300,241400,Offer Rejected - Price Too Low
"74 Wheaze Ave., Phoenix, AZ",2021-08-09,295100,308800,Offer Rejected - Pending
"109 Submarine Ave., Houston, TX",2021-11-02,313600,303200,Offer Rejected - Price Too Low
"126 Mountaineers St., Houston, TX",2021-09-25,224700,234300,Offer Rejected - Price Too Low
"174 Punkin St., Las Vegas, NV",2021-10-30,316400,327800,Offer Rejected - Price Too Low
"70 Cheilosis St., Atlanta, GA",2021-09-14,303900,309000,Offer Rejected - Price Too Low
"104 Dreely Rd., Las Vegas, NV",2021-11-15,383600,422300,Closed
"72 Cunene Rd., Atlanta, GA",2021-12-01,292100,290800,Offer Rejected - Price Too Low
"120 Plimsoll St., Phoenix, AZ",2021-11-07,313900,335800,Offer Rejected - Price Too Low
"108 Foreclose St., Atlanta, GA",2021-08-15,352300,359700,Offer Rejected - Price Too Low
"67 Noelene St., Phoenix, AZ",2021-12-09,241300,248400,Offer Rejected - Pending
"181 Traversal Rd., Las Vegas, NV",2021-08-30,300000,297700,Offer Rejected - Price Too Low
"134 Jacuzzi Rd., Las Vegas, NV",2021-12-08,288600,292600,Offer Rejected - Price Too Low
"145 Peg-float St., Phoenix, AZ",2021-09-08,337600,354300,Offer Rejected - Price Too Low
"116 Grout St., Las Vegas, NV",2021-11-14,328000,342000,Closed
"183 Nixtamal St., Atlanta, GA",2021-11-17,297500,327800,Closed
"23 Whirlpool Rd., Phoenix, AZ",2021-08-30,237200,242100,Offer Rejected - Pending
"92 Dissolver Rd., Houston, TX",2021-12-02,278400,307300,Closed
"1 Rubible St., Houston, TX",2021-08-30,278400,287700,Closed
"78 Drawdown St., Phoenix, AZ",2021-09-23,281800,287200,Offer Rejected - Pending
"61 Proter Ave., Houston, TX",2021-10-26,248200,265900,Closed
"151 Nabokov St., Phoenix, AZ",2021-09-14,355800,372500,Offer Rejected - Price Too Low
"158 Backarc Rd., Phoenix, AZ",2021-11-22,257500,271600,Closed
"1 Parakeet Rd., Phoenix, AZ",2021-08-28,328000,330700,Offer Rejected - Price Too Low
"9 Recanter St., Phoenix, AZ",2021-12-02,326100,331800,Offer Rejected - Price Too Low
"74 Cyberactivist St., Atlanta, GA",2021-09-30,283000,302200,Closed
"115 Ulsterettes Ave., Las Vegas, NV",2021-09-16,317000,332000,Closed
"198 Hydratropic St., Atlanta, GA",2021-10-23,313900,333700,Offer Rejected - Price Too Low
"185 Bronchiolar St., Atlanta, GA",2021-12-15,346600,351100,Offer Rejected - Price Too Low
"37 Writership Rd., Atlanta, GA",2021-08-25,283500,307200,Offer Rejected - Price Too Low
"76 Receiptable Rd., Phoenix, AZ",2021-11-19,252600,265000,Offer Rejected - Price Too Low
"123 Uncontented St., Atlanta, GA",2021-09-05,240200,243600,Offer Rejected - Price Too Low
"51 Enhance Ave., Phoenix, AZ",2021-08-26,286100,302500,Offer Rejected - Price Too Low
"68 Viologen St., Phoenix, AZ",2021-11-21,282000,289100,Offer Rejected - Price Too Low
"148 Coalfields Rd., Atlanta, GA",2021-08-01,350900,375200,Closed
"196 Percentiles St., Phoenix, AZ",2021-09-05,303300,320100,Offer Rejected - Pending
"187 Night-glass St., Houston, TX",2021-08-30,255800,278000,Closed
"148 Carbonyl Ave., Phoenix, AZ",2021-09-13,280300,302100,Closed
"124 Scopa Rd., Houston, TX",2021-08-31,296100,310300,Closed
"130 Xerophagy St., Atlanta, GA",2021-11-14,317600,346600,Offer Rejected - Price Too Low
"101 Satrapies St., Phoenix, AZ",2021-11-16,249300,265300,Closed
"99 Melamdim St., Phoenix, AZ",2021-10-24,272200,283600,Closed
"158 Vehmgericht St., Las Vegas, NV",2021-10-31,245500,236900,Offer Rejected - Pending
"155 Enjoined St., Phoenix, AZ",2021-07-19,375200,391800,Offer Rejected - Price Too Low
"148 Evident St., Phoenix, AZ",2021-12-02,318100,325100,Offer Rejected - Price Too Low
"86 Arbutin St., Houston, TX",2021-12-02,314900,326000,Offer Rejected - Pending
"79 Acid-loving Ave., Phoenix, AZ",2021-11-08,306800,312600,Offer Rejected - Price Too Low
"37 Nonappearance St., Atlanta, GA",2021-10-10,292400,296400,Offer Rejected - Price Too Low
"53 Deskew Ave., Atlanta, GA",2021-07-21,270300,279500,Offer Rejected - Price Too Low
"132 Risks Rd., Atlanta, GA",2021-12-04,363800,391300,Offer Rejected - Price Too Low
"60 Tacticity Rd., Phoenix, AZ",2021-08-13,362800,389200,Offer Rejected - Price Too Low
"28 Mustafa St., Atlanta, GA",2021-08-13,265600,277700,Offer Rejected - Price Too Low
"86 Nyctophobic St., Las Vegas, NV",2021-08-26,372700,374200,Offer Rejected - Price Too Low
"7 Googling Ave., Phoenix, AZ",2021-08-11,365300,361600,Offer Rejected - Price Too Low
"181 Springle Ave., Atlanta, GA",2021-11-05,264000,270700,Offer Rejected - Price Too Low
"189 Jambuster Rd., Phoenix, AZ",2021-08-09,280600,283600,Offer Rejected - Price Too Low
"152 Incounter St., Las Vegas, NV",2021-12-09,338700,356900,Offer Rejected - Price Too Low
"36 Preceed St., Phoenix, AZ",2021-12-10,324900,333500,Offer Rejected - Pending
"118 Unanalysable Rd., Houston, TX",2021-11-08,326000,332900,Offer Rejected - Price Too Low
"134 Yardies St., Atlanta, GA",2021-08-20,351200,380300,Closed
"76 Bringers St., Atlanta, GA",2021-12-08,235100,233200,Offer Rejected - Price Too Low
"164 Suppertimes St., Phoenix, AZ",2021-12-09,263200,271300,Offer Rejected - Price Too Low
"40 Orients St., Atlanta, GA",2021-11-18,331300,360000,Closed
"191 Bedazzlement St., Atlanta, GA",2021-09-04,293100,310600,Offer Rejected - Pending
"6 Concertmistress St., Las Vegas, NV",2021-10-16,258400,260500,Offer Rejected - Price Too Low
"80 Helmintholithus St., Phoenix, AZ",2021-08-31,307600,329300,Closed
"73 Fuzee St., Atlanta, GA",2021-10-28,308800,326300,Closed
"199 Anyone-in Ave., Phoenix, AZ",2021-10-13,254800,275400,Closed
"161 Wiltja Ave., Phoenix, AZ",2021-10-27,289400,305500,Offer Rejected - Price Too Low
"11 Affinal Rd., Atlanta, GA",2021-11-11,246200,262800,Closed
"126 Brassicaceae Ave., Las Vegas, NV",2021-08-02,276300,272400,Offer Rejected - Price Too Low
"54 Scraich St., Houston, TX",2021-09-13,315300,313700,Offer Rejected - Price Too Low
"101 Clinicist Rd., Las Vegas, NV",2021-09-03,324800,324900,Offer Rejected - Price Too Low
"62 Foreshadowed Ave., Atlanta, GA",2021-09-01,350000,372700,Offer Rejected - Price Too Low
"149 Water-doctor St., Phoenix, AZ",2021-11-29,331400,346300,Offer Rejected - Price Too Low
"51 Twenty-second St., Phoenix, AZ",2021-10-19,310900,340800,Closed
"84 Problematics St., Las Vegas, NV",2021-11-13,314000,308400,Offer Rejected - Price Too Low
"140 Egotistically Ave., Las Vegas, NV",2021-12-06,290700,319800,Closed
"143 Ferrier Ave., Las Vegas, NV",2021-07-22,270800,265000,Offer Rejected - Price Too Low
"0 Square-ended St., Atlanta, GA",2021-09-12,254700,250200,Offer Rejected - Price Too Low
"32 Demethylating Ave., Las Vegas, NV",2021-11-20,251100,267400,Closed
"194 Disesteeming Ave., Las Vegas, NV",2021-09-15,284700,293600,Offer Rejected - Price Too Low
"86 Brogues Ave., Phoenix, AZ",2021-08-19,330600,359900,Offer Rejected - Price Too Low
"83 Boy Scouts St., Phoenix, AZ",2021-09-17,306200,317500,Offer Rejected - Price Too Low
"133 Algophily St., Atlanta, GA",2021-08-17,292400,308100,Closed
"141 Splenorenal Ave., Phoenix, AZ",2021-08-15,284300,282300,Offer Rejected - Price Too Low
"145 Peacocky Ave., Phoenix, AZ",2021-09-25,330600,352500,Closed
"111 Tenace Ave., Phoenix, AZ",2021-10-20,305300,315400,Offer Rejected - Price Too Low
"72 Ententes St., Phoenix, AZ",2021-09-19,221400,226400,Offer Rejected - Price Too Low
"67 Stengel St., Phoenix, AZ",2021-08-14,251900,262800,Offer Rejected - Price Too Low
"87 Signatures St., Atlanta, GA",2021-11-28,321000,328700,Offer Rejected - Pending
"35 Gobby St., Las Vegas, NV",2021-09-28,386000,403100,Offer Rejected - Price Too Low
"181 Fraternizations St., Atlanta, GA",2021-11-14,251600,268600,Offer Rejected - Price Too Low
"148 Piercees Rd., Houston, TX",2021-11-21,265300,281000,Offer Rejected - Price Too Low
"101 Jubilee Rd., Atlanta, GA",2021-10-14,283700,307300,Closed
"97 Shopgrifting St., Phoenix, AZ",2021-09-05,260200,257300,Offer Rejected - Price Too Low
"28 Cautioned Rd., Atlanta, GA",2021-07-31,278800,291400,Closed
"107 Oceanian St., Phoenix, AZ",2021-08-01,286000,293600,Offer Rejected - Price Too Low
"137 Hasta Ave., Las Vegas, NV",2021-10-02,285300,299400,Closed
"116 Sap-green Ave., Phoenix, AZ",2021-07-18,261300,259900,Offer Rejected - Price Too Low
"34 Phascogale St., Phoenix, AZ",2021-09-09,309300,333000,Closed
"149 Compilated Ave., Phoenix, AZ",2021-07-31,230100,245500,Closed
"89 Tosca Rd., Atlanta, GA",2021-10-17,313400,324200,Closed
"62 Selenocentric Rd., Phoenix, AZ",2021-09-30,312700,318300,Offer Rejected - Price Too Low
"13 White-hass Ave., Las Vegas, NV",2021-08-02,262200,288600,Closed
"1 Undersleeve Rd., Atlanta, GA",2021-09-28,237300,254100,Offer Rejected - Price Too Low
"69 Groote Eylandt St., Las Vegas, NV",2021-11-20,234800,251400,Offer Rejected - Price Too Low
